model1,model2,cohort_pair,feature,rbo
llama31_8b,gemma3_4b,open,Access to movies,0.7715204240166557
llama31_8b,gemma3_4b,open,Access to podcasts,0.4804904616908
llama31_8b,gemma3_4b,open,Broadcast messages to multiple contacts,0.4906102299175459
llama31_8b,gemma3_4b,open,Build photo collage,0.010444279043339357
llama31_8b,gemma3_4b,open,Collaborate with others,0.38048084678069044
llama31_8b,gemma3_4b,open,Go Live,0.2370919802906046
llama31_8b,gemma3_4b,open,Keeping up with friends,0.3972923651295514
llama31_8b,gemma3_4b,open,List items for sale,0.3738733270897873
llama31_8b,gemma3_4b,open,Photo effects,0.22472774506126428
llama31_8b,gemma3_4b,open,Play games,0.23793476314912382
llama31_8b,gemma3_4b,open,Play playlist on shuffle mode,0.646422200219885
llama31_8b,gemma3_4b,open,Rate movies,0.2546804505498796
llama31_8b,gemma3_4b,open,Search for offer on item,0.09704883530438
llama31_8b,gemma3_4b,open,Send files,0.4649619545973364
llama31_8b,gemma3_4b,open,Watch streams,0.171722955060861
llama31_8b,gemma3_4b,open,Write notes,0.5045401606009122
llama31_8b,qwen3_8b,open,Access to movies,0.7052253273968837
llama31_8b,qwen3_8b,open,Access to podcasts,0.5652206334008598
llama31_8b,qwen3_8b,open,Broadcast messages to multiple contacts,0.4356576519417599
llama31_8b,qwen3_8b,open,Build photo collage,0.06019961940403332
llama31_8b,qwen3_8b,open,Collaborate with others,0.46551809496125524
llama31_8b,qwen3_8b,open,Go Live,0.2863982110849986
llama31_8b,qwen3_8b,open,Keeping up with friends,0.6667119559157461
llama31_8b,qwen3_8b,open,List items for sale,0.2425457442932485
llama31_8b,qwen3_8b,open,Photo effects,0.2243447152164799
llama31_8b,qwen3_8b,open,Play games,0.34015220562243764
llama31_8b,qwen3_8b,open,Play playlist on shuffle mode,0.5527107107882966
llama31_8b,qwen3_8b,open,Rate movies,0.43647781659649815
llama31_8b,qwen3_8b,open,Search for offer on item,0.10564262900276856
llama31_8b,qwen3_8b,open,Send files,0.42560378176258035
llama31_8b,qwen3_8b,open,Watch streams,0.2744294542359805
llama31_8b,qwen3_8b,open,Write notes,0.5155774440121003
llama31_8b,gptoss20b,open,Access to movies,0.7717551492692353
llama31_8b,gptoss20b,open,Access to podcasts,0.633348898509794
llama31_8b,gptoss20b,open,Broadcast messages to multiple contacts,0.42361820131233263
llama31_8b,gptoss20b,open,Build photo collage,0.06573181792533622
llama31_8b,gptoss20b,open,Collaborate with others,0.5003564087771014
llama31_8b,gptoss20b,open,Go Live,0.2253235573724182
llama31_8b,gptoss20b,open,Keeping up with friends,0.5559260399473532
llama31_8b,gptoss20b,open,List items for sale,0.27254369862417394
llama31_8b,gptoss20b,open,Photo effects,0.22596399852775817
llama31_8b,gptoss20b,open,Play games,0.17813553468114476
llama31_8b,gptoss20b,open,Play playlist on shuffle mode,0.6825503316612338
llama31_8b,gptoss20b,open,Rate movies,0.4899207256614563
llama31_8b,gptoss20b,open,Search for offer on item,0.09221456889837197
llama31_8b,gptoss20b,open,Send files,0.14081400863011148
llama31_8b,gptoss20b,open,Watch streams,0.16976156846386053
llama31_8b,gptoss20b,open,Write notes,0.524248722549944
